"","tag","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"288","F","Decylubiquinone",0.520089312550136,0.47728756397465,0.417304382847195,-17,-0.276529060685084,0.274268323775993,TRUE,242.307692307692,4.22906703367857,"Precedes Tb",2.09610162241797
"289","F","460.18256/9.348",0.519678591998276,0.504206650895763,0.490322108463386,2,-0.273013917928491,0.271242130571675,TRUE,13.8461538461538,0.241660973353061,"Synchronous",2.75292954781297
"290","F","298.1393/3.037",0.519108798133885,0.493516598841665,0.474978423981054,-1,-0.268621730177898,0.270288733200725,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.65307615845307
"291","D","Ethyl Butylacetylaminopropionate",0.518449536761964,0.497086325625942,0.48127091370535,-20,-0.273573731688778,0.271435314794914,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.67828993668594
"292","F","320.08735/4.227",0.518032113633018,0.486511331802998,0.456469925595088,25,-0.272917161316912,0.268060351151328,TRUE,173.076923076923,3.02076216691326,"After Tb",3.20498974208038
"293","F","280.16523/6.017",0.516578491510796,0.486659993096727,0.457452038317638,-1,-0.276912912923388,0.274378148426768,TRUE,353.076923076923,6.16235482050306,"Synchronous",2.16374162018695
"294","F","327.16831/7.882",0.516353055526973,0.506025986286306,0.499579428073281,25,-0.269908142054433,0.278260593555328,TRUE,173.076923076923,3.02076216691326,"After Tb",1.52422845862908
"295","F","Moxnidazole",0.516315227427183,0.506892434862348,0.500736615834379,-20,-0.276357749078596,0.278797910005836,TRUE,221.538461538462,3.86657557364898,"Precedes Tb",1.57645423683726
"296","F","219.92746/0.872",0.515844447923032,0.502856657892189,0.491702871040173,23,-0.278678636395562,0.277859945049955,TRUE,159.230769230769,2.7791011935602,"After Tb",1.34266728198547
"297","F","3-(3-Hydroxynonanoyl)Oxy-4-(Trimethylammonio)Butanoate",0.515686117511685,0.48799123582298,0.451303235928399,2,-0.27358181081848,0.273587228735391,TRUE,13.8461538461538,0.241660973353061,"Synchronous",1.59944329921108
"298","F","89.9694/1.116",0.515283683486968,0.468983757821185,0.429123386918891,19,-0.272216804636593,0.274913558555928,TRUE,131.538461538462,2.29577924685408,"After Tb",2.38590623633094
"299","F","448.34167/11.084",0.514407005875823,0.458777160688005,0.383142307608345,-1,-0.270926651233374,0.275438476225492,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.61087592111136
"300","F","4-(2-Isopropyl-5-Methylcyclohexyl)Oxy-4-Oxobutanoic Acid",0.51386486900589,0.469526337080089,0.419561726518782,0,-0.271260062212421,0.277777803855537,TRUE,0,0,"Synchronous",1.53467777139347
"301","F","327.20469/7.031",0.512881982280422,0.502360429108416,0.481245608296737,-24,-0.271845477661312,0.270005806625646,TRUE,193.846153846154,3.38325362694285,"Precedes Tb",3.02795977004333
"302","F","213.0249/8.604",0.51241153776956,0.496831257516946,0.478330639712066,25,-0.275565685398011,0.276389300556569,TRUE,173.076923076923,3.02076216691326,"After Tb",1.96758624017285
"303","F","191.15219/1.204",0.512347935113768,0.459836148599475,0.418760409873116,-26,-0.277668957689281,0.270228548129822,TRUE,180,3.14159265358979,"Precedes Tb",2.2619840094465
"304","F","297.19169/9.096",0.512066597337769,0.472560002774074,0.412794477998713,-25,-0.271021845029843,0.269709893457489,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",2.48484317935729
"305","F","256.96999/0.784",0.511985217256299,0.506231482590084,0.499035499491543,19,-0.277054443109538,0.276564871595999,TRUE,131.538461538462,2.29577924685408,"After Tb",1.60316250974178
"306","F","337.21018/2.559",0.511627653312263,0.493723596857635,0.4627493324918,1,-0.269710925087818,0.271722955383451,TRUE,6.92307692307692,0.120830486676531,"Synchronous",1.77453036785199
"307","F","221.88153/0.898",0.511360673440053,0.491027429986243,0.478936883275303,23,-0.278171313331584,0.277210301848606,TRUE,159.230769230769,2.7791011935602,"After Tb",1.8305594151329
"308","F","418.29478/11.092",0.511338467770561,0.46198929243334,0.389065918853143,-1,-0.270099856163433,0.276044251311318,TRUE,353.076923076923,6.16235482050306,"Synchronous",1.66332840803874
"309","F","286.14176/4.29",0.511059753701134,0.493109976437195,0.466956842269905,25,-0.276583788692119,0.277232566150304,TRUE,173.076923076923,3.02076216691326,"After Tb",1.21349579872482
"310","F","492.35421/10.689",0.510870978197888,0.484719567076299,0.442347560173727,-25,-0.271183157006026,0.265320077626893,TRUE,186.923076923077,3.26242314026632,"Precedes Tb",2.67371277348636
"311","F","438.20062/9.347",0.510067315558511,0.49589965018997,0.484363529150871,2,-0.274211059485611,0.270566970560749,TRUE,13.8461538461538,0.241660973353061,"Synchronous",2.5593052636054
