date,time,datetime,Tb,ID,Sample_nr
01/06/2023,07:16:44,01/06/2023 07:16,33.79,H089,
01/06/2023,07:31:44,01/06/2023 07:31,32.55,H089,
01/06/2023,07:46:45,01/06/2023 07:46,31.72,H089,
01/06/2023,08:01:45,01/06/2023 08:01,30.72,H089,
01/06/2023,08:16:46,01/06/2023 08:16,30.02,H089,
01/06/2023,08:31:46,01/06/2023 08:31,29.72,H089,
01/06/2023,08:46:46,01/06/2023 08:46,28.74,H089,
01/06/2023,09:01:47,01/06/2023 09:01,28.1,H089,
01/06/2023,09:16:47,01/06/2023 09:16,27.42,H089,
01/06/2023,09:31:48,01/06/2023 09:31,26.94,H089,
01/06/2023,09:46:48,01/06/2023 09:46,27.11,H089,
01/06/2023,10:01:49,01/06/2023 10:01,26.52,H089,
01/06/2023,10:16:49,01/06/2023 10:16,25.47,H089,
01/06/2023,10:31:50,01/06/2023 10:31,24.14,H089,
01/06/2023,10:46:50,01/06/2023 10:46,22.92,H089,
01/06/2023,11:01:50,01/06/2023 11:01,21.72,H089,
01/06/2023,11:16:50,01/06/2023 11:16,20.58,H089,
01/06/2023,11:31:50,01/06/2023 11:31,19.62,H089,
01/06/2023,11:46:50,01/06/2023 11:46,18.69,H089,
01/06/2023,12:01:50,01/06/2023 12:01,17.85,H089,
01/06/2023,12:16:49,01/06/2023 12:16,17.04,H089,
01/06/2023,12:31:49,01/06/2023 12:31,16.33,H089,
01/06/2023,12:46:49,01/06/2023 12:46,15.69,H089,
01/06/2023,13:01:49,01/06/2023 13:01,15.12,H089,
01/06/2023,13:16:49,01/06/2023 13:16,14.59,H089,
01/06/2023,13:31:49,01/06/2023 13:31,14.18,H089,
01/06/2023,13:46:49,01/06/2023 13:46,13.77,H089,
01/06/2023,14:01:49,01/06/2023 14:01,13.44,H089,
01/06/2023,14:16:49,01/06/2023 14:16,13.25,H089,
01/06/2023,14:31:49,01/06/2023 14:31,13.06,H089,
01/06/2023,14:46:48,01/06/2023 14:46,12.88,H089,
01/06/2023,15:01:48,01/06/2023 15:01,12.73,H089,
01/06/2023,15:16:48,01/06/2023 15:16,12.59,H089,
01/06/2023,15:31:48,01/06/2023 15:31,12.48,H089,
01/06/2023,15:46:48,01/06/2023 15:46,12.37,H089,
01/06/2023,16:01:48,01/06/2023 16:01,12.27,H089,
01/06/2023,16:16:48,01/06/2023 16:16,12.53,H089,
01/06/2023,16:31:48,01/06/2023 16:31,12.67,H089,
01/06/2023,16:46:48,01/06/2023 16:46,12.59,H089,
01/06/2023,17:01:48,01/06/2023 17:01,12.36,H089,
01/06/2023,17:16:48,01/06/2023 17:16,12.17,H089,
01/06/2023,17:31:47,01/06/2023 17:31,11.99,H089,
